closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds
2025-12-29T12:14:52Z,SOL-PERP-INTX,LONG,1.9618614141097075,50.0,2025-12-29T07:22:05Z,stop_loss,127.43,123.327,-8.05,-3.2198,-8.47,1.97,17567
2025-12-29T12:14:52Z,SUI-PERP-INTX,LONG,167.9994624017203,50.0,2025-12-29T07:22:05Z,stop_loss,1.4881,1.4355,-8.84,-3.5347,-9.0,1.53,17567
2025-12-29T18:25:06Z,ADA-PERP-INTX,SHORT,-683.0601092896175,50.0,2025-12-28T18:24:58Z,expired_profit,0.366,0.3578,5.6,2.2404,-12.57,5.87,86408
2025-12-29T18:25:06Z,ETC-PERP-INTX,SHORT,-20.59308072487644,50.0,2025-12-28T18:24:58Z,expired_profit,12.14,11.973,3.44,1.3756,-7.25,5.58,86408
2025-12-29T18:25:06Z,LTC-PERP-INTX,LONG,3.1774275546517536,50.0,2025-12-28T18:24:58Z,expired_loss,78.68,78.07,-1.94,-0.7753,-5.91,4.73,86408
2025-12-29T19:13:00Z,ARB-PERP-INTX,LONG,1284.026707755521,50.0,2025-12-28T18:33:39Z,expired_loss,0.1947,0.192,-3.47,-1.3867,-7.58,6.29,88761
2025-12-30T08:04:00Z,DOGE-PERP-INTX,SHORT,-1975.503753457132,50.0,2025-12-29T07:22:05Z,expired_profit,0.12655,0.12404,4.96,1.9834,-1.11,8.85,88915
2025-12-30T08:04:00Z,WLD-PERP-INTX,SHORT,-488.7585532746824,50.0,2025-12-29T07:22:05Z,expired_profit,0.5115,0.4948,8.16,3.2649,-2.35,11.63,88915
2025-12-30T08:04:00Z,ZRO-PERP-INTX,SHORT,-195.61815336463224,50.0,2025-12-29T07:22:05Z,expired_profit,1.278,1.242,7.04,2.8169,-1.96,8.22,88915
2025-12-30T12:57:44Z,LINK-PERP-INTX,SHORT,-20.346707902661347,50.0,2025-12-29T12:19:53Z,expired_loss,12.287,12.46,-3.52,-1.408,-5.09,0.79,88671
2025-12-30T18:33:20Z,BTC-PERP-INTX,SHORT,-0.002853923957082,50.0,2025-12-29T18:29:39Z,expired_loss,87598.69,88365.0,-2.19,-0.8748,-5.04,2.51,86621
2025-12-30T19:11:15Z,LTC-PERP-INTX,SHORT,-3.228305785123967,50.0,2025-12-29T19:05:36Z,expired_loss,77.44,77.76,-1.03,-0.4132,-4.0,0.13,86739
2025-12-30T19:58:53Z,SUI-PERP-INTX,LONG,173.70761534185658,50.0,2025-12-29T19:21:02Z,expired_loss,1.4392,1.4294,-1.7,-0.6809,-4.13,1.96,88671
2025-12-30T19:59:00Z,SUI-PERP-INTX,LONG,173.70761534185658,50.0,2025-12-29T19:21:02Z,expired_loss,1.4392,1.4294,-1.7,-0.6809,-4.13,1.96,88678
2025-12-31T10:09:13Z,FET-PERP-INTX,SHORT,-1195.0286806883366,50.0,2025-12-30T10:07:23Z,expired_profit,0.2092,0.2069,2.75,1.0994,-2.27,3.7,86510
2025-12-31T10:09:13Z,INJ-PERP-INTX,SHORT,-54.24170101974398,50.0,2025-12-30T10:07:23Z,expired_profit,4.609,4.456,8.3,3.3196,-0.11,8.73,86510
2025-12-31T14:10:02Z,ETH-PERP-INTX,SHORT,-0.0842559358306792,50.0,2025-12-30T14:07:19Z,expired_loss,2967.15,3012.9,-3.85,-1.5419,-4.92,2.08,86563
2025-12-31T17:45:02Z,CRV-PERP-INTX,LONG,672.2237160527023,50.0,2025-12-31T14:08:25Z,stop_loss,0.3719,0.3595,-8.34,-3.3342,-8.94,1.41,12997
2025-12-31T22:10:01Z,RENDER-PERP-INTX,LONG,193.1993817619784,50.0,2025-12-30T22:07:25Z,expired_breakeven,1.294,1.293,-0.19,-0.0773,-4.25,1.93,86556
2025-12-31T22:10:01Z,BTC-PERP-INTX,LONG,0.0028315774344118,50.0,2025-12-30T22:07:25Z,expired_loss,88290.01,87651.2,-1.81,-0.7235,-3.37,2.4,86556
2025-12-31T22:10:01Z,LTC-PERP-INTX,SHORT,-3.208007185936096,50.0,2025-12-30T22:07:25Z,expired_profit,77.93,76.67,4.04,1.6168,-3.14,6.42,86556
2026-01-01T14:10:02Z,FET-PERP-INTX,SHORT,-1211.827435773146,50.0,2025-12-31T14:08:25Z,expired_profit,0.2063,0.2057,0.73,0.2908,-1.45,10.06,86497
2026-01-01T15:00:02Z,ARB-PERP-INTX,SHORT,-1350.621285791464,50.0,2025-12-31T18:08:15Z,stop_loss,0.1851,0.1921,-9.45,-3.7817,-9.45,1.76,75107
2026-01-01T15:45:02Z,DOGE-PERP-INTX,SHORT,-2112.200067590402,50.0,2026-01-01T06:08:31Z,stop_loss,0.11836,0.12305,-9.91,-3.9625,-11.36,0.63,34591
2026-01-01T16:08:07Z,LINK-PERP-INTX,SHORT,-20.233085140822272,50.0,2025-12-31T16:05:18Z,expired_breakeven,12.356,12.361,-0.1,-0.0405,-1.56,4.53,86569
2026-01-02T02:10:02Z,BTC-PERP-INTX,SHORT,-0.0028455000465523,50.0,2026-01-01T02:08:28Z,expired_loss,87858.02,88388.1,-1.51,-0.6033,-2.77,1.29,86494
2026-01-02T02:10:02Z,AAVE-PERP-INTX,SHORT,-1.7135023989033584,50.0,2026-01-01T02:08:28Z,expired_loss,145.9,148.04,-3.67,-1.4668,-6.13,1.76,86494
2026-01-02T03:20:02Z,ONDO-PERP-INTX,SHORT,-661.638216223369,50.0,2026-01-01T18:08:23Z,stop_loss,0.37785,0.3908,-8.57,-3.4273,-8.57,0.1,33099
2026-01-02T03:50:02Z,DOGE-PERP-INTX,SHORT,-2004.972331381827,50.0,2026-01-01T18:08:23Z,stop_loss,0.12469,0.1287,-8.04,-3.216,-9.14,0.74,34899
2026-01-02T06:10:02Z,ETH-PERP-INTX,LONG,0.0840435009160741,50.0,2026-01-01T06:08:31Z,expired_profit,2974.65,3013.03,3.23,1.2902,-0.19,4.88,86491
2026-01-02T09:50:01Z,ADA-PERP-INTX,SHORT,-711.2375533428166,50.0,2026-01-01T18:08:23Z,stop_loss,0.3515,0.3644,-9.17,-3.67,-11.17,1.49,56498
2026-01-02T09:55:02Z,ZRO-PERP-INTX,SHORT,-196.232339089482,50.0,2026-01-01T22:08:23Z,stop_loss,1.274,1.315,-8.05,-3.2182,-8.05,0.98,42399
2026-01-03T18:55:02Z,CRV-PERP-INTX,LONG,618.3527083848627,50.0,2026-01-03T02:07:31Z,take_profit,0.4043,0.4241,12.24,4.8974,-5.01,12.74,60451
2026-01-04T02:10:02Z,LINK-PERP-INTX,LONG,18.87504718761797,50.0,2026-01-03T02:07:31Z,expired_profit,13.245,13.324,1.49,0.5965,-5.36,2.51,86551
2026-01-04T02:10:02Z,SUPER-PERP-INTX,LONG,1127.5991159622931,50.0,2026-01-03T02:07:31Z,expired_profit,0.22171,0.22201,0.34,0.1353,-4.33,4.72,86551
2026-01-04T02:10:02Z,XLM-PERP-INTX,LONG,1122.1480607037215,50.0,2026-01-03T02:07:31Z,expired_profit,0.222787,0.22499,2.47,0.9888,-6.58,5.43,86551
2026-01-04T02:10:02Z,DOGE-PERP-INTX,LONG,1768.5342388228637,50.0,2026-01-03T02:07:31Z,expired_profit,0.14136,0.14621,8.58,3.431,-4.07,10.03,86551
2026-01-04T02:10:02Z,ADA-PERP-INTX,LONG,636.6182836771072,50.0,2026-01-03T02:07:31Z,expired_profit,0.3927,0.3935,0.51,0.2037,-6.49,3.82,86551
2026-01-04T02:10:02Z,DOT-PERP-INTX,LONG,115.5268022181146,50.0,2026-01-03T02:07:31Z,expired_loss,2.164,2.124,-4.62,-1.8484,-6.7,0.92,86551
2026-01-04T09:05:03Z,WLFI-PERP-INTX,LONG,1414.187125240412,50.0,2026-01-03T22:08:23Z,stop_loss,0.17678,0.17081,-8.44,-3.3771,-9.21,6.82,39400
2026-01-05T02:08:20Z,PENDLE-PERP-INTX,LONG,112.7141568981064,50.0,2026-01-04T06:08:22Z,range_break,2.218,2.247,3.27,1.3075,-7.44,5.41,71998
2026-01-05T02:08:20Z,AAVE-PERP-INTX,LONG,1.5309246785058177,50.0,2026-01-04T06:08:22Z,range_break,163.3,167.08,5.79,2.3148,-4.03,6.94,71998
2026-01-05T02:08:20Z,WLFI-PERP-INTX,LONG,1437.7731769036116,50.0,2026-01-04T10:08:19Z,range_break,0.17388,0.17347,-0.59,-0.2358,-8.02,1.35,57601
2026-01-05T02:08:20Z,DOT-PERP-INTX,LONG,115.84800741427247,50.0,2026-01-04T14:08:23Z,range_break,2.158,2.161,0.35,0.139,-4.63,2.32,43197
2026-01-05T02:08:20Z,DOGE-PERP-INTX,LONG,1647.7722119694174,50.0,2026-01-04T18:08:21Z,range_break,0.15172,0.15186,0.23,0.0923,-9.34,1.05,28799
2026-01-05T11:06:10Z,SEI-PERP-INTX,LONG,2015.9664543182,50.0,2026-01-05T06:07:36Z,range_break,0.12401,0.1233,-1.43,-0.5725,-2.04,1.79,17914
2026-01-05T11:06:10Z,HBAR-PERP-INTX,LONG,1996.007984031936,50.0,2026-01-05T06:07:36Z,range_break,0.12525,0.12482,-0.86,-0.3433,-2.3,3.17,17914
2026-01-05T11:06:10Z,SOL-PERP-INTX,LONG,1.847882326853426,50.0,2026-01-05T06:07:36Z,range_break,135.29,135.44,0.28,0.1109,-1.4,1.25,17914
