closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds
2025-10-09T15:00:00Z,EURC-PERP-INTX,LONG,430.6,,2025-10-08T18:23:51Z,stop_loss,1.1613,1.1564411,-2.09,-0.4184,-0.53,0.24,74169
2025-10-09T10:00:00Z,ZRO-PERP-INTX,SHORT,-205.1,,2025-10-08T18:24:23Z,take_profit,2.440461,2.3233189,24.03,4.8,-1.09,7.8,56137
2025-10-09T22:00:00Z,LTC-PERP-INTX,SHORT,-4.23,,2025-10-09T18:01:02Z,stop_loss,118.07069,121.84895,-15.98,-3.2,-15.19,0.73,14338
2025-10-10T15:00:00Z,SUI-PERP-INTX,LONG,147.3,,2025-10-09T18:00:30Z,stop_loss,3.3966,3.2879088,-16.01,-3.2,-10.4,2.47,75570
2025-10-10T00:00:00Z,PAXG-PERP-INTX,SHORT,-0.126,,2025-10-09T18:00:52Z,stop_loss,3966.392,4008.1233,-5.26,-1.0521,-1.63,0.15,21548
2025-10-10T18:00:00Z,EURC-PERP-INTX,LONG,432.6,,2025-10-09T18:00:41Z,expired,1.156,1.1611,2.21,0.4412,-0.07,0.59,86359
2025-10-10T19:00:00Z,FIL-PERP-INTX,LONG,219,,2025-10-10T17:34:20Z,stop_loss,2.2827,2.2096536,-16.0,-3.2,-56.19,0.44,5140
2025-10-10T19:00:00Z,BERA-PERP-INTX,SHORT,-177.4,,2025-10-10T17:34:29Z,take_profit,2.805339,2.6706827,23.89,4.8,-0.49,70.45,5131
2025-10-10T20:00:00Z,NEAR-PERP-INTX,SHORT,-164.4,,2025-10-10T17:34:36Z,take_profit,3.0398,2.8938896,23.99,4.8,-0.67,49.9,8724
2025-10-10T20:00:00Z,APT-PERP-INTX,SHORT,-102.5,,2025-10-10T17:34:44Z,take_profit,4.876131,4.6420767,23.99,4.8,-0.12,44.67,8716
2025-10-10T21:00:00Z,EURC-PERP-INTX,LONG,431,,2025-10-10T17:34:12Z,stop_loss,1.16,1.1548352,-2.23,-0.4452,-5.66,0.25,12348
2025-10-11T19:00:00Z,BCH-PERP-INTX,LONG,0.947,,2025-10-11T07:21:09Z,stop_loss,528.02586,511.12903,-16.0,-3.2,-9.48,1.73,41931
